Hospital,Description,CPT,Charge
St Josephs Behavioral Health Center,PT THR ACTIVITY EA 15    ,97530,205
St Josephs Behavioral Health Center,VENIPUNCTURE IP/ER       ,36415,43
St Josephs Behavioral Health Center,H-URINE DRG SCRN8 7573   ,80307,125
St Josephs Behavioral Health Center,"Tonsillectomy with Adenoidectomy, less than 12 years old",42820,
St Josephs Behavioral Health Center,"Tympanostomy (insert ventilating  tube, general anesthesia)",69436,
St Josephs Behavioral Health Center,Laparoscopic Cholecystectomy,47562,
St Josephs Behavioral Health Center,"Injection, Anesthetic or Steroid, transforaminal epidural, lumbar",64483,
St Josephs Behavioral Health Center,PT TRN SLF CARE/HME EA 15,97535,179
St Jude Medical Center,"Arthroscopy, Shoulder, with partial acromioplasty",29826,28399.77
St Jude Medical Center,"Colonoscopy, diagnostic",45378,6005.3
St Jude Medical Center,"Cataract Removal with Insertion of Intraocular Lens, 1 Stage",66984,12133.79
St Jude Medical Center,"Arthroscopy, Knee, with meniscectomy (medial or lateral)",29881,14269.51
St Jude Medical Center,"Electrocardiogram, routine, with interpretation and report",93000,
St Jude Medical Center,"Physical Therapy, Gait Training",97116,149
St Jude Medical Center,"Inhalation Treatment, pressurized or nonpressurized",94640,189.6923077
St Jude Medical Center,"Colonoscopy, with biopsy",45380,7542.08
St Jude Medical Center,"Echocardiography, Transthoracic, complete",93307,1449
St Jude Medical Center,"Physical Therapy, Therapeutic Exercise",97110,149
St Jude Medical Center,"Colonoscopy, with lesion removal, by snare technique",45385,7559.79
St Jude Medical Center,"Tympanostomy (insert ventilating  tube, general anesthesia)",69436,12689.15
St Jude Medical Center,"Endoscopy, Upper GI, with biopsy",43239,6394.98
St Jude Medical Center,"Endoscopy, Upper GI, diagnostic",43235,5387.16
St Jude Medical Center,"Excision, Breast Lesion, without preoperative radiological marker",19120,14339.7
St Jude Medical Center,"Hernia Repair, Inguinal, 5 years and older",49505,19298.08
St Jude Medical Center,"Injection, Anesthetic or Steroid, transforaminal epidural, lumbar",64483,1676
St Jude Medical Center,Laparoscopic Cholecystectomy,47562,24461.95
St Jude Medical Center,"Cardiac Catheterization, Left Heart, percutaneous ",93452,8960
St Jude Medical Center,"Tonsillectomy with Adenoidectomy, less than 12 years old",42820,9668.3
St Jude Medical Center,"Injection, Diagnostic or Therapeutic substance, epidural, lumbar",62323,2366
St Jude Medical Center,"Injection, Diagnostic or Therapeutic substance, epidural, lumbar",62322,2366
St Jude Medical Center,"Physical Therapy, Evaluation",97162,412.6666667
St Jude Medical Center,"Physical Therapy, Evaluation",97161,412.6666667
St Jude Medical Center,"Discission, secondary membranous cataract, laser surgery",66821,3307.44
St Jude Medical Center,"X-Ray, Chest, two views",71046,290
St Jude Medical Center,Carpal Tunnel Surgery,64721,7152.75
St Jude Medical Center,"Ultrasound, OB, 14 weeks or more, transabdominal",76805,729
St Jude Medical Center,"Emergency Room Visit, Level 2 (low to moderate severity)",99282,1101
St Jude Medical Center,"Emergency Room Visit, Level 3 (moderate severity)",99283,1690
St Jude Medical Center,"Emergency Room Visit, Level 4 (high severity)",99284,2640
St Jude Medical Center,"Urinalysis, without microscopy",81002,111.5
St Jude Medical Center,"X-Ray, Lower Back, four views",72110,482
St Jude Medical Center,"Urinalysis, without microscopy",81003,111.5
St Jude Medical Center,"Urinalysis, with microscopy",81000,152.5
St Jude Medical Center,"Urinalysis, with microscopy",81001,152.5
St Jude Medical Center,"Outpatient Visit, established patient, 15 minutes",99213,388
St Jude Medical Center,Basic Metabolic Panel,80048,155
St Jude Medical Center,"Blood Gas Analysis, including 02 saturation",82805,531
St Jude Medical Center,"Complete Blood Count, automated",85027,114
St Jude Medical Center,"Complete Blood Count, with differential WBC, automated",85025,203
St Jude Medical Center,"Physical Therapy, Evaluation",97163,412.6666667
St Jude Medical Center,"Creatine Kinase (CK), (CPK), Total",82550,113
St Jude Medical Center,Comprehensive Metabolic Panel,80053,268
St Jude Medical Center,"MRI, Head or Brain, without contrast, followed by contrast",70553,4836.5
St Jude Medical Center,"Ultrasound, Abdomen, Complete",76700,722
St Jude Medical Center,"CT Scan, Head or Brain, without contrast",70450,2433
St Jude Medical Center,"Mammography, Screening, Bilateral",77067,228.5
St Jude Medical Center,"CT Scan, Pelvis, with contrast",72193,2793
St Jude Medical Center,Lipid Panel,80061,228
St Jude Medical Center,Partial Thromboplastin Time,85730,124
St Jude Medical Center,Prothrombin Time,85610,116
St Jude Medical Center,"Troponin, Quantitative",84484,230
St Jude Medical Center,Thyroid Stimulating Hormone,84443,140
St Jude Medical Center,"CT Scan, Abdomen, with contrast",74160,3021
St Mary Medical Center - Apple Valley,Carpal Tunnel Surgery,64721,15983.42
St Mary Medical Center - Apple Valley,"Ultrasound, Abdomen, Complete",76700,1696
St Mary Medical Center - Apple Valley,"Ultrasound, OB, 14 weeks or more, transabdominal",76805,1920
St Mary Medical Center - Apple Valley,"X-Ray, Lower Back, four views",72110,762
St Mary Medical Center - Apple Valley,"Cardiac Catheterization, Left Heart, percutaneous ",93452,17098
St Mary Medical Center - Apple Valley,"Echocardiography, Transthoracic, complete",93307,640
St Mary Medical Center - Apple Valley,"Electrocardiogram, routine, with interpretation and report",93000,
St Mary Medical Center - Apple Valley,"Physical Therapy, Gait Training",97116,187
St Mary Medical Center - Apple Valley,"Physical Therapy, Therapeutic Exercise",97110,444
St Mary Medical Center - Apple Valley,"Arthroscopy, Knee, with meniscectomy (medial or lateral)",29881,25145.7
St Mary Medical Center - Apple Valley,"Arthroscopy, Shoulder, with partial acromioplasty",29826,66171.39
St Mary Medical Center - Apple Valley,"X-Ray, Chest, two views",71046,726
St Mary Medical Center - Apple Valley,"Inhalation Treatment, pressurized or nonpressurized",94640,570.2307692
St Mary Medical Center - Apple Valley,"CT Scan, Abdomen, with contrast",74160,3409
St Mary Medical Center - Apple Valley,"Mammography, Screening, Bilateral",77067,883
St Mary Medical Center - Apple Valley,"Emergency Room Visit, Level 2 (low to moderate severity)",99282,1377
St Mary Medical Center - Apple Valley,"Emergency Room Visit, Level 3 (moderate severity)",99283,2946
St Mary Medical Center - Apple Valley,"Emergency Room Visit, Level 4 (high severity)",99284,3825
St Mary Medical Center - Apple Valley,"Outpatient Visit, established patient, 15 minutes",99213,592
St Mary Medical Center - Apple Valley,Basic Metabolic Panel,80048,341
St Mary Medical Center - Apple Valley,"Blood Gas Analysis, including 02 saturation",82805,190
St Mary Medical Center - Apple Valley,"Complete Blood Count, automated",85027,243
St Mary Medical Center - Apple Valley,"MRI, Head or Brain, without contrast, followed by contrast",70553,3349
St Mary Medical Center - Apple Valley,"Complete Blood Count, with differential WBC, automated",85025,273
St Mary Medical Center - Apple Valley,Lipid Panel,80061,384
St Mary Medical Center - Apple Valley,Partial Thromboplastin Time,85730,120
St Mary Medical Center - Apple Valley,Prothrombin Time,85610,73
St Mary Medical Center - Apple Valley,Thyroid Stimulating Hormone,84443,340
St Mary Medical Center - Apple Valley,"Troponin, Quantitative",84484,329
St Mary Medical Center - Apple Valley,"CT Scan, Head or Brain, without contrast",70450,3627
St Mary Medical Center - Apple Valley,"CT Scan, Pelvis, with contrast",72193,3553
St Mary Medical Center - Apple Valley,"Creatine Kinase (CK), (CPK), Total",82550,147
St Mary Medical Center - Apple Valley,Comprehensive Metabolic Panel,80053,219
St Mary Medical Center - Apple Valley,"Colonoscopy, diagnostic",45378,9648.65
St Mary Medical Center - Apple Valley,"Physical Therapy, Evaluation",97161,964.25
St Mary Medical Center - Apple Valley,"Tonsillectomy with Adenoidectomy, less than 12 years old",42820,13456.14
St Mary Medical Center - Apple Valley,"Tympanostomy (insert ventilating  tube, general anesthesia)",69436,10204.56
St Mary Medical Center - Apple Valley,"Injection, Anesthetic or Steroid, transforaminal epidural, lumbar",64483,
St Mary Medical Center - Apple Valley,"Hernia Repair, Inguinal, 5 years and older",49505,19412.98
St Mary Medical Center - Apple Valley,"Excision, Breast Lesion, without preoperative radiological marker",19120,15556.47
St Mary Medical Center - Apple Valley,"Endoscopy, Upper GI, diagnostic",43235,1706
St Mary Medical Center - Apple Valley,"Endoscopy, Upper GI, with biopsy",43239,1791
St Mary Medical Center - Apple Valley,"Discission, secondary membranous cataract, laser surgery",66821,
St Mary Medical Center - Apple Valley,"Colonoscopy, with lesion removal, by snare technique",45385,6492.17
St Mary Medical Center - Apple Valley,"Cataract Removal with Insertion of Intraocular Lens, 1 Stage",66984,12029.6
St Mary Medical Center - Apple Valley,Laparoscopic Cholecystectomy,47562,33973.76
St Mary Medical Center - Apple Valley,"Injection, Diagnostic or Therapeutic substance, epidural, lumbar",62322,2571
St Mary Medical Center - Apple Valley,"Colonoscopy, with biopsy",45380,9109.42
St Mary Medical Center - Apple Valley,"Urinalysis, with microscopy",81001,95
St Mary Medical Center - Apple Valley,"Urinalysis, with microscopy",81000,95
St Mary Medical Center - Apple Valley,"Urinalysis, without microscopy",81003,51
St Mary Medical Center - Apple Valley,"Urinalysis, without microscopy",81002,51
St Mary Medical Center - Apple Valley,"Injection, Diagnostic or Therapeutic substance, epidural, lumbar",62323,2571
St Mary Medical Center - Apple Valley,"Physical Therapy, Evaluation",97163,964.25
St Mary Medical Center - Apple Valley,"Physical Therapy, Evaluation",97162,964.25
St Mary Medical Center - Long Beach,"Colonoscopy, diagnostic",45378,
St Mary Medical Center - Long Beach,"Cataract Removal with Insertion of Intraocular Lens, 1 Stage",66984,
St Mary Medical Center - Long Beach,Carpal Tunnel Surgery,64721,
St Mary Medical Center - Long Beach,"Arthroscopy, Shoulder, with partial acromioplasty",29826,
St Mary Medical Center - Long Beach,"Arthroscopy, Knee, with meniscectomy (medial or lateral)",29881,
St Mary Medical Center - Long Beach,"Urinalysis, without microscopy",81003,88
St Mary Medical Center - Long Beach,"Physical Therapy, Gait Training",97116,
St Mary Medical Center - Long Beach,"Colonoscopy, with biopsy",45380,
St Mary Medical Center - Long Beach,"Inhalation Treatment, pressurized or nonpressurized",94640,
St Mary Medical Center - Long Beach,"Electrocardiogram, routine, with interpretation and report",93000,
St Mary Medical Center - Long Beach,"Echocardiography, Transthoracic, complete, without Doppler",93307,
St Mary Medical Center - Long Beach,"Physical Therapy, Therapeutic Exercise",97110,
St Mary Medical Center - Long Beach,"Colonoscopy, with lesion removal, by snare technique",45385,
St Mary Medical Center - Long Beach,"Hernia Repair, Inguinal, 5 years and older",49505,
St Mary Medical Center - Long Beach,"Endoscopy, Upper GI, with biopsy",43239,
St Mary Medical Center - Long Beach,"Endoscopy, Upper GI, diagnostic",43235,
St Mary Medical Center - Long Beach,"Excision, Breast Lesion, without preoperative radiological marker",19120,
St Mary Medical Center - Long Beach,"Urinalysis, without microscopy",81002,88
St Mary Medical Center - Long Beach,"Injection, Anesthetic or Steroid, transforaminal epidural, lumbar",64483,
St Mary Medical Center - Long Beach,Laparoscopic Cholecystectomy,47562,
St Mary Medical Center - Long Beach,"Tympanostomy (insert ventilating  tube, general anesthesia)",69436,
St Mary Medical Center - Long Beach,"Cardiac Catheterization, Left Heart, percutaneous ",93452,
St Mary Medical Center - Long Beach,"Tonsillectomy with Adenoidectomy, less than 12 years old",42820,
St Mary Medical Center - Long Beach,"Urinalysis, with microscopy",81001,100
St Mary Medical Center - Long Beach,"Urinalysis, with microscopy",81000,100
St Mary Medical Center - Long Beach,"Discission, secondary membranous cataract, laser surgery",66821,
St Mary Medical Center - Long Beach,"X-Ray, Chest, two views",71046,630
St Mary Medical Center - Long Beach,"X-Ray, Lower Back, minimum four views",72110,918
St Mary Medical Center - Long Beach,Basic Metabolic Panel,80048,383
St Mary Medical Center - Long Beach,"Physical Therapy, Evaluation",97163,
St Mary Medical Center - Long Beach,"Physical Therapy, Evaluation",97162,
St Mary Medical Center - Long Beach,"Physical Therapy, Evaluation",97161,
St Mary Medical Center - Long Beach,"Ultrasound, OB, 14 weeks or more, transabdominal",76805,506
St Mary Medical Center - Long Beach,"Emergency Room Visit, Level 2 (low to moderate severity)",99282,1113
St Mary Medical Center - Long Beach,"Emergency Room Visit, Level 3 (moderate severity)",99283,2114
St Mary Medical Center - Long Beach,"Emergency Room Visit, Level 4 (high severity without signigicant threat)",99284,3207
St Mary Medical Center - Long Beach,"Emergency Room Visit, Level 4 (high severity with significant threat)",99285,5690
St Mary Medical Center - Long Beach,"Outpatient Visit, established patient, 15 minutes",99213,204
St Mary Medical Center - Long Beach,"Blood Gas Analysis, including 02 saturation",82805,
St Mary Medical Center - Long Beach,"Injection, Diagnostic or Therapeutic substance, epidural, lumbar",62322,
St Mary Medical Center - Long Beach,"Complete Blood Count, with differential WBC, automated",85025,180
St Mary Medical Center - Long Beach,"Complete Blood Count, automated",85027,159
St Mary Medical Center - Long Beach,"Creatine Kinase (CK), (CPK), Total",82550,162
St Mary Medical Center - Long Beach,"Ultrasound, Abdomen, Complete",76700,1067
St Mary Medical Center - Long Beach,"MRI, Brain, without contrast, followed by contrast",70553,4842
St Mary Medical Center - Long Beach,"Mammography, Screening, Bilateral",77067,539
St Mary Medical Center - Long Beach,"CT Scan, Pelvis, with contrast",72193,3689
St Mary Medical Center - Long Beach,Comprehensive Metabolic Panel,80053,590
St Mary Medical Center - Long Beach,"CT Scan, Abdomen, with contrast",74160,2379
St Mary Medical Center - Long Beach,"CT Scan, Head or Brain, without contrast",70450,2506
St Mary Medical Center - Long Beach,Thyroid Stimulating Hormone,84443,287
St Mary Medical Center - Long Beach,Prothrombin Time,85610,98
St Mary Medical Center - Long Beach,Partial Thromboplastin Time,85730,161
St Mary Medical Center - Long Beach,Lipid Panel,80061,428
St Mary Medical Center - Long Beach,"Troponin, Quantitative",84484,113
St Mary Medical Center - Long Beach,"Injection, Diagnostic or Therapeutic substance, epidural, lumbar",62323,
St Marys Medical Center - San Francisco,"Tympanostomy (insert ventilating  tube, general anesthesia)",69436,
St Marys Medical Center - San Francisco,"Tonsillectomy with Adenoidectomy, less than 12 years old",42820,
St Marys Medical Center - San Francisco,Laparoscopic Cholecystectomy,47562,
St Marys Medical Center - San Francisco,"Physical Therapy, Gait Training",97116,
St Marys Medical Center - San Francisco,"Physical Therapy, Therapeutic Exercise",97110,
St Marys Medical Center - San Francisco,"Injection, Anesthetic or Steroid, transforaminal epidural, lumbar",64483,
St Marys Medical Center - San Francisco,"Arthroscopy, Knee, with meniscectomy (medial or lateral)",29881,
St Marys Medical Center - San Francisco,"Urinalysis, without microscopy",81002,205
St Marys Medical Center - San Francisco,"Endoscopy, Upper GI, diagnostic",43235,
St Marys Medical Center - San Francisco,"Urinalysis, with microscopy",81000,283
St Marys Medical Center - San Francisco,"Urinalysis, with microscopy",81001,283
St Marys Medical Center - San Francisco,"Arthroscopy, Shoulder, with partial acromioplasty",29826,
St Marys Medical Center - San Francisco,Carpal Tunnel Surgery,64721,
St Marys Medical Center - San Francisco,"Cataract Removal with Insertion of Intraocular Lens, 1 Stage",66984,
St Marys Medical Center - San Francisco,"Colonoscopy, diagnostic",45378,
St Marys Medical Center - San Francisco,"Colonoscopy, with biopsy",45380,
St Marys Medical Center - San Francisco,"Colonoscopy, with lesion removal, by snare technique",45385,
St Marys Medical Center - San Francisco,"Discission, secondary membranous cataract, laser surgery",66821,
St Marys Medical Center - San Francisco,"Endoscopy, Upper GI, with biopsy",43239,
St Marys Medical Center - San Francisco,"Excision, Breast Lesion, without preoperative radiological marker",19120,
St Marys Medical Center - San Francisco,"Hernia Repair, Inguinal, 5 years and older",49505,
St Marys Medical Center - San Francisco,"Urinalysis, without microscopy",81003,205
St Marys Medical Center - San Francisco,"Inhalation Treatment, pressurized or nonpressurized",94640,
St Marys Medical Center - San Francisco,"CT Scan, Pelvis, with contrast",72193,4904
St Marys Medical Center - San Francisco,"Echocardiography, Transthoracic, complete, without Doppler",93307,
St Marys Medical Center - San Francisco,"Electrocardiogram, routine, with interpretation and report",93000,
St Marys Medical Center - San Francisco,"Physical Therapy, Evaluation",97161,
St Marys Medical Center - San Francisco,"Physical Therapy, Evaluation",97162,
St Marys Medical Center - San Francisco,"Physical Therapy, Evaluation",97163,
St Marys Medical Center - San Francisco,"Injection, Diagnostic or Therapeutic substance, epidural, lumbar",62322,
St Marys Medical Center - San Francisco,"Injection, Diagnostic or Therapeutic substance, epidural, lumbar",62323,
St Marys Medical Center - San Francisco,"Emergency Room Visit, Level 2 (low to moderate severity)",99282,1760
St Marys Medical Center - San Francisco,"Emergency Room Visit, Level 3 (moderate severity)",99283,2632
St Marys Medical Center - San Francisco,"Emergency Room Visit, Level 4 (high severity without signigicant threat)",99284,3954
St Marys Medical Center - San Francisco,"Emergency Room Visit, Level 4 (high severity with significant threat)",99285,8343
St Marys Medical Center - San Francisco,"Outpatient Visit, established patient, 15 minutes",99213,145
St Marys Medical Center - San Francisco,"Blood Gas Analysis, including 02 saturation",82805,862
St Marys Medical Center - San Francisco,"Complete Blood Count, automated",85027,135
St Marys Medical Center - San Francisco,"Complete Blood Count, with differential WBC, automated",85025,320
St Marys Medical Center - San Francisco,Comprehensive Metabolic Panel,80053,1182
St Marys Medical Center - San Francisco,Basic Metabolic Panel,80048,949
St Marys Medical Center - San Francisco,Lipid Panel,80061,1232
St Marys Medical Center - San Francisco,"Creatine Kinase (CK), (CPK), Total",82550,261
St Marys Medical Center - San Francisco,"Cardiac Catheterization, Left Heart, percutaneous ",93452,
St Marys Medical Center - San Francisco,"X-Ray, Lower Back, minimum four views",72110,1233
St Marys Medical Center - San Francisco,"Ultrasound, OB, 14 weeks or more, transabdominal",76805,1833
St Marys Medical Center - San Francisco,"Ultrasound, Abdomen, Complete",76700,1760
St Marys Medical Center - San Francisco,"MRI, Brain, without contrast, followed by contrast",70553,7834
St Marys Medical Center - San Francisco,"X-Ray, Chest, two views",71046,936
St Marys Medical Center - San Francisco,"CT Scan, Head or Brain, without contrast",70450,3467
St Marys Medical Center - San Francisco,"CT Scan, Abdomen, with contrast",74160,4916
St Marys Medical Center - San Francisco,"Troponin, Quantitative",84484,351
St Marys Medical Center - San Francisco,Thyroid Stimulating Hormone,84443,523
St Marys Medical Center - San Francisco,Prothrombin Time,85610,232
St Marys Medical Center - San Francisco,"Mammography, Screening, Bilateral",77067,1449
St Marys Medical Center - San Francisco,Partial Thromboplastin Time,85730,322
St Rose Hospital,"Colonoscopy, with lesion removal, by snare technique",45385,9000
St Rose Hospital,"Colonoscopy, with biopsy",45380,8700
St Rose Hospital,"Colonoscopy, diagnostic",45378,8000
St Rose Hospital,"Cataract Removal with Insertion of Intraocular Lens, 1 Stage",66984,
St Rose Hospital,"Arthroscopy, Shoulder, with partial acromioplasty",29826,40000
St Rose Hospital,"Arthroscopy, Knee, with meniscectomy (medial or lateral)",29881,24000
St Rose Hospital,"Physical Therapy, Therapeutic Exercise",97110,204
St Rose Hospital,"Physical Therapy, Gait Training",97116,209
St Rose Hospital,Carpal Tunnel Surgery,64721,15000
St Rose Hospital,"Discission, secondary membranous cataract, laser surgery",66821,
St Rose Hospital,Laparoscopic Cholecystectomy,47562,26000
St Rose Hospital,"Endoscopy, Upper GI, diagnostic",43235,6500
St Rose Hospital,"Excision, Breast Lesion, without preoperative radiological marker",19120,21000
St Rose Hospital,"Hernia Repair, Inguinal, 5 years and older",49505,27000
St Rose Hospital,"Injection, Anesthetic or Steroid, transforaminal epidural, lumbar",64483,
St Rose Hospital,"Inhalation Treatment, pressurized or nonpressurized",94640,822.8
St Rose Hospital,"Tympanostomy (insert ventilating  tube, general anesthesia)",69436,
St Rose Hospital,"Tonsillectomy with Adenoidectomy, less than 12 years old",42820,
St Rose Hospital,"CT SCAN, CHEST /LUNG BIOPSY ",32405,5261.1
St Rose Hospital,6 MIN WALK TEST,94617,658.45
St Rose Hospital,BIOPSY THIGH SOFT TISSUE,27324,5945.72
St Rose Hospital,"Endoscopy, Upper GI, with biopsy",43239,7200
St Rose Hospital,"Electrocardiogram, routine, with interpretation and report",93000,659
St Rose Hospital,"CT Scan, Pelvis, with contrast",72193,3925
St Rose Hospital,"Cardiac Catheterization, Left Heart, percutaneous ",93452,18729
St Rose Hospital,"Emergency Room Visit, Level 2 (low to moderate severity)",99282,1133
St Rose Hospital,"Emergency Room Visit, Level 3 (moderate severity)",99283,1650
St Rose Hospital,"Emergency Room Visit, Level 4 (high severity without signigicant threat)",99284,2611
St Rose Hospital,"Emergency Room Visit, Level 4 (high severity with significant threat)",99285,4040
St Rose Hospital,"Outpatient Visit, established patient, 15 minutes",99213,1650
St Rose Hospital,Basic Metabolic Panel,80048,289
St Rose Hospital,"Blood Gas Analysis, including 02 saturation",82805,151
St Rose Hospital,"Complete Blood Count, automated",85027,167
St Rose Hospital,"Complete Blood Count, with differential WBC, automated",85025,23.97
St Rose Hospital,Comprehensive Metabolic Panel,80053,422
St Rose Hospital,"Echocardiography, Transthoracic, complete, without Doppler",93307,4188
St Rose Hospital,Lipid Panel,80061,152
St Rose Hospital,Prothrombin Time,85610,95
St Rose Hospital,Thyroid Stimulating Hormone,84443,111
St Rose Hospital,"Troponin, Quantitative",84484,134
St Rose Hospital,"CT Scan, Abdomen, with contrast",74160,3814
St Rose Hospital,"CT Scan, Head or Brain, without contrast",70450,3800
St Rose Hospital,"Mammography, Screening, Bilateral",77067,277
St Rose Hospital,"MRI, Brain, without contrast, followed by contrast",70553,3674
St Rose Hospital,"Ultrasound, OB, 14 weeks or more, transabdominal",76805,1920
St Rose Hospital,"X-Ray, Lower Back, minimum four views",72110,1607
St Rose Hospital,"X-Ray, Chest, two views",71046,310.55
St Rose Hospital,Partial Thromboplastin Time,85730,98.8
St Rose Hospital,"Creatine Kinase (CK), (CPK), Total",82550,196
St Rose Hospital,"Ultrasound, Abdomen, Complete",76700,2413
St Rose Hospital,"Physical Therapy, Evaluation",97161,360.04
St Rose Hospital,"Physical Therapy, Evaluation",97162,360.04
St Rose Hospital,"Physical Therapy, Evaluation",97163,360.04
St Rose Hospital,"Injection, Diagnostic or Therapeutic substance, epidural, lumbar",62322,
St Rose Hospital,"Injection, Diagnostic or Therapeutic substance, epidural, lumbar",62323,
St Rose Hospital,"Urinalysis, without microscopy",81003,120
St Rose Hospital,"Urinalysis, with microscopy",81000,120
St Rose Hospital,"Urinalysis, with microscopy",81001,120
St Rose Hospital,"Urinalysis, without microscopy",81002,120
Stanford University Hospital,"Inhalation Treatment, pressurized or nonpressurized",94640,845
Stanford University Hospital,"Physical Therapy, Gait Training",97116,469
Stanford University Hospital,"Physical Therapy, Therapeutic Exercise",97110,502
Stanford University Hospital,"Urinalysis, with microscopy",81000,306
Stanford University Hospital,"Colonoscopy, with biopsy",45380,13817
Stanford University Hospital,"Endoscopy, Upper GI, with biopsy",43239,13837
Stanford University Hospital,"Urinalysis, with microscopy",81001,306
Stanford University Hospital,"Colonoscopy, diagnostic",45378,11004
Stanford University Hospital,"X-Ray, Chest, two views",71046,1123
Stanford University Hospital,"CT Scan, Pelvis, with contrast",72193,13501
Stanford University Hospital,"MRI, Brain, without contrast, followed by contrast",70553,12632
Stanford University Hospital,"CT Scan, Head or Brain, without contrast",70450,5477
Stanford University Hospital,"CT Scan, Abdomen, with contrast",74160,9473
Stanford University Hospital,"Troponin, Quantitative",84484,729
Stanford University Hospital,Prothrombin Time,85610,331
Stanford University Hospital,Partial Thromboplastin Time,85730,463
Stanford University Hospital,Lipid Panel,80061,501
Stanford University Hospital,Comprehensive Metabolic Panel,80053,730
Stanford University Hospital,"Complete Blood Count, automated",85027,302
Stanford University Hospital,"Blood Gas Analysis, including 02 saturation",82805,1600
Stanford University Hospital,Basic Metabolic Panel,80048,638
Stanford University Hospital,"Emergency Room Visit, Level 4 (high severity without signigicant threat)",99284,9395
Stanford University Hospital,"Ultrasound, Abdomen, Complete",76700,2775
Stanford University Hospital,"Emergency Room Visit, Level 3 (moderate severity)",99283,2679
Stanford University Hospital,"Emergency Room Visit, Level 2 (low to moderate severity)",99282,1477
Stanford University Hospital,"Physical Therapy, Evaluation",97161,1085
Stanford University Hospital,"Physical Therapy, Evaluation",97162,1085
Stanford University Hospital,"Physical Therapy, Evaluation",97163,1085
Stanislaus Surgical Center,"Repair rotator cuff open, chronic",23412,22379
Stanislaus Surgical Center,Electrocardiogram 12 Lead Tracing Only,93005,
Stanislaus Surgical Center,"Echocardiography, complete",93307,
Stanislaus Surgical Center,"Inhalation Treatment, pressurized or nonpressurized",94640,
Stanislaus Surgical Center,"Arthroscopy, Knee, with meniscectomy (medial or lateral)",29881,11360
Stanislaus Surgical Center,"Arthroscopy, Shoulder, with rotator cuff repair",29827,28808
Stanislaus Surgical Center,Carpal Tunnel Surgery,64721,10740
Stanislaus Surgical Center,"Cataract Removal with Insertion of Intraocular Lens, 1 Stage",66984,10693
Stanislaus Surgical Center,"Colonoscopy, diagnostic",45378,2307
Stanislaus Surgical Center,"Colonoscopy, with biopsy",45380,2706
Stanislaus Surgical Center,"Cataract Removal with Insertion of Intraocular Lens, 1 Stage/Complex",66982,10787
Stanislaus Surgical Center,"Ultrasound, OB, 14 weeks or more, single fetus, transabdominal",76805,
Stanislaus Surgical Center,"Endoscopy, Upper GI, with biopsy",43239,2564
Stanislaus Surgical Center,"Endoscopy, Upper GI, diagnostic",43235,2190
Stanislaus Surgical Center,Arthroscopy aided anterior cruciate ligament repair,29888,43515
Stanislaus Surgical Center,Unlisted procedure dental structures,41899,13601
Stanislaus Surgical Center,"Injection, Anesthetic or Steroid, transforaminal epidural, lumbar",64483,1914
Stanislaus Surgical Center,"Arthroscopy, shoulder, debridement, extensive",29823,18333
Stanislaus Surgical Center,"Facet joint injection lumbar/sacral, single facet joint",64635,3909
Stanislaus Surgical Center,"Colonoscopy, with lesion removal, by snare technique",45385,3189
Stanislaus Surgical Center,"Ultrasound, Abdomen, Complete",76700,
Stanislaus Surgical Center,"CT Scan, Pelvis, with contrast",72193,
Stanislaus Surgical Center,"Endoscopy upper GI, balloon dilation of esophagus",43249,4049
Stanislaus Surgical Center,"Emergency Room Visit, Level 2 ",99282,
Stanislaus Surgical Center,"Emergency Room Visit, Level 3 ",99283,
Stanislaus Surgical Center,"Emergency Room Visit, Level 4 ",99284,
Stanislaus Surgical Center,Basic Metabolic Panel,80048,
Stanislaus Surgical Center,Comprehensive Metabolic Panel,80053,
Stanislaus Surgical Center,Lipid Panel,80061,
Stanislaus Surgical Center,"Creatine Kinase (CK), (CPK), Total",82550,
Stanislaus Surgical Center,"Blood Gas Analysis, including 02 saturation",82805,
Stanislaus Surgical Center,"CT Scan, Abdomen, with contrast",74160,
Stanislaus Surgical Center,Thyroid Stimulating Hormone,84443,
Stanislaus Surgical Center,"Complete Blood Count, with differential WBC, automated",85025,
Stanislaus Surgical Center,"Complete Blood Count, automated",85027,
Stanislaus Surgical Center,Prothrombin Time,85610,
Stanislaus Surgical Center,Partial Thromboplastin Time,85730,
Stanislaus Surgical Center,"CT Scan, Head or Brain, without contrast",70450,
Stanislaus Surgical Center,"X-Ray, Chest, two views",71046,
Stanislaus Surgical Center,"X-Ray, Lumbo Sacral, four views",72110,
Stanislaus Surgical Center,"Screening mammography, bilateral (CAD) when performed",77067,
Stanislaus Surgical Center,"Troponin, Quantitative",84484,
Stanislaus Surgical Center,"Endoscopy upper GI, with guidewire",43248,3140
Stanislaus Surgical Center,"Facet joint injection cervical/thoracic, single facet joint",64633,3488
Stanislaus Surgical Center,"Injection, paravertebral facet, cervical/thoracic, single joint",64490,5079
Stanislaus Surgical Center,"Injection, paravertebral facet, lumbar/sacral, single joint",64493,5291
Stanislaus Surgical Center,"injection, sacroiliac joint",27096,2991
Stanislaus Surgical Center,Steroid injection cervical/thoracic,62321,1623
Stanislaus Surgical Center,Steroid injection lumbar/sacral,62323,1639
Stanislaus Surgical Center,Hardware removal,20680,16945
State - Atascadero State Hospital,"Troponin, Quantitative",84484,1.7
